,coordenada_x,coordenada_y,Zona
994,5437860.140869955,6350312.299044359,8
995,5438152.644369181,6352642.28639898,7
996,5437846.819729675,6349939.291614903,8
997,5439074.761491703,6349356.8759347405,3
998,5439074.761491703,6349356.8759347405,3
999,5439074.761491703,6349356.8759347405,3
1000,5439074.761491703,6349356.8759347405,3
1001,5439074.761491703,6349356.8759347405,3
1004,5433838.491701913,6352788.591211426,0
1005,5439098.280758669,6349794.570761524,3
1006,5436962.33725151,6354116.287239159,7
1007,5436962.33725151,6354116.287239159,7
1009,5440739.52,6351645.85,1
1010,5440739.52,6351645.85,1
1017,5433804.259200852,6359926.387420146,6
1018,5433804.259200852,6359926.387420146,6
1020,5431515.4702996565,6361947.320465112,2
1027,5432400.54,6357025.36,4
1028,5440352.72755076,6349182.167019691,3
1029,5440352.72755076,6349182.167019691,3
1030,5440352.72755076,6349182.167019691,3
1031,5440352.72755076,6349182.167019691,3
1032,5437357.970000002,6353536.235,7
1033,5437357.970000002,6353536.235,7
1038,5433701.165978704,6359883.985945688,6
1039,5433701.165978704,6359883.985945688,6
1040,5434114.679402566,6360698.306679187,2
1041,5434114.679402566,6360698.306679187,2
1042,5434114.679402566,6360698.306679187,2
1043,5434114.679402566,6360698.306679187,2
1044,5434114.679402566,6360698.306679187,2
1045,5434114.679402566,6360698.306679187,2
1046,5434114.679402566,6360698.306679187,2
1047,5434114.679402566,6360698.306679187,2
1052,5431318.949283833,6361482.946449067,2
1053,5431318.949283833,6361482.946449067,2
1054,5431329.518033833,6361483.285199068,2
1055,5431329.518033833,6361483.285199068,2
1056,5433731.758396531,6356571.723293161,0
1057,5433731.758396531,6356571.723293161,0
1058,5433731.758396531,6356571.723293161,0
1059,5433731.758396531,6356571.723293161,0
1060,5433731.758396531,6356571.723293161,0
1061,5433731.758396531,6356571.723293161,0
1062,5433731.758396531,6356571.723293161,0
1063,5433731.758396531,6356571.723293161,0
1064,5433731.758396531,6356571.723293161,0
1065,5433731.758396531,6356571.723293161,0
1066,5433731.758396531,6356571.723293161,0
1067,5433731.758396531,6356571.723293161,0
1068,5433731.758396531,6356571.723293161,0
1069,5439815.585,6353827.035,1
1070,5433024.480316533,6361466.496634631,2
1071,5441020.212452984,6354432.183748865,1
1072,5441020.212452984,6354432.183748865,1
1080,5431126.184223471,6358796.410492708,4
1081,5431126.184223471,6358796.410492708,4
1082,5431126.184223471,6358796.410492708,4
1083,5431126.184223471,6358796.410492708,4
1084,5431126.184223471,6358796.410492708,4
1086,5428404.657963972,6358227.500020844,4
1088,5435877.022365464,6356935.047799661,5
1089,5435877.022365464,6356935.047799661,5
1090,5435877.022365464,6356935.047799661,5
1091,5435877.022365464,6356935.047799661,5
1092,5435877.022365464,6356935.047799661,5
1093,5435877.022365464,6356935.047799661,5
1094,5435877.022365464,6356935.047799661,5
1095,5435877.022365464,6356935.047799661,5
1096,5435877.022365464,6356935.047799661,5
1097,5435877.022365464,6356935.047799661,5
1101,5434094.976563986,6360667.12295318,2
1102,5434094.976563986,6360667.12295318,2
1103,5434094.976563986,6360667.12295318,2
1104,5434094.976563986,6360667.12295318,2
1105,5434094.976563986,6360667.12295318,2
1106,5434094.976563986,6360667.12295318,2
1107,5434488.68,6361347.48,2
1108,5435086.73,6357332.39,5
1109,5437025.20248381,6354120.31916175,7
1110,5437025.20248381,6354120.31916175,7
1114,5441016.527244652,6354411.918748864,1
1115,5441016.527244652,6354411.918748864,1
1118,5432746.322121763,6361379.463912386,2
1119,5432746.322121763,6361379.463912386,2
1120,5433023.11,6361532.1,2
1121,5433023.11,6361532.1,2
1122,5433023.11,6361532.1,2
1123,5433023.11,6361532.1,2
1124,5433023.11,6361532.1,2
1125,5433023.11,6361532.1,2
1126,5433023.11,6361532.1,2
1127,5433023.11,6361532.1,2
1128,5433023.11,6361532.1,2
1129,5433023.11,6361532.1,2
1130,5433023.11,6361532.1,2
1133,5438043.867381814,6354870.021021999,9
1134,5438043.867381814,6354870.021021999,9
1135,5438043.867381814,6354870.021021999,9
1136,5438043.867381814,6354870.021021999,9
1137,5438043.867381814,6354870.021021999,9
1138,5438043.867381814,6354870.021021999,9
1151,5436869.906588029,6353817.969805636,7
1152,5436869.906588029,6353817.969805636,7
1153,5436869.906588029,6353817.969805636,7
1161,5435440.186957691,6358383.336445069,6
1162,5435440.186957691,6358383.336445069,6
1164,5435813.958504445,6348497.252768736,8
1171,5431581.342792792,6362295.642910417,2
1172,5431581.342792792,6362295.642910417,2
1175,5437414.36,6354453.06,9
1176,5437414.36,6354453.06,9
1177,5438669.703793328,6351790.683807438,7
1179,5437684.812287639,6349613.62297597,8
1180,5437684.812287639,6349613.62297597,8
1181,5437684.812287639,6349613.62297597,8
1182,5437684.812287639,6349613.62297597,8
1183,5437684.812287639,6349613.62297597,8
1186,5433259.700917344,6357385.876810252,4
1187,5433259.700917344,6357385.876810252,4
1188,5433259.700917344,6357385.876810252,4
1189,5433259.700917344,6357385.876810252,4
1190,5433259.700917344,6357385.876810252,4
1191,5433259.700917344,6357385.876810252,4
1192,5433259.700917344,6357385.876810252,4
1193,5433259.700917344,6357385.876810252,4
1194,5433259.700917344,6357385.876810252,4
1196,5440373.914777243,6354980.451654329,1
1197,5440373.914777243,6354980.451654329,1
1198,5440373.914777243,6354980.451654329,1
1199,5439022.843533166,6352024.120058826,7
1206,5438733.589349604,6347347.121824837,8
1207,5439480.5554274935,6347095.075147177,3
